Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru milk+puff+pastry<br/><img src="https://cdn.pixabay.com/photo/2017/02/23/19/10/cream-puff-2092962_150.jpg"/>" | Time:"0.98582410812378"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru potatoes<br/><img src="https://cdn.pixabay.com/photo/2014/08/06/20/32/potatoes-411975_150.jpg"/>" | Time:"1.3955748081207"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru peanuts<br/><img src="https://cdn.pixabay.com/photo/2016/10/13/01/04/nuts-1736520_150.jpg"/>" | Time:"1.4286468029022"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru pork<br/><img src="https://cdn.pixabay.com/photo/2016/03/05/23/02/barbecue-1239434_150.jpg"/>" | Time:"1.0922708511353"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru miniature+marshmallows<br/><img src="https://cdn.pixabay.com/photo/2018/03/27/18/51/mohr-heads-3266981_150.jpg"/>" | Time:"1.1181881427765"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru water+pears<br/><img src="https://cdn.pixabay.com/photo/2017/08/06/14/45/light-bulb-2593165_150.jpg"/>" | Time:"0.83287906646729"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru lime+orange<br/><img src="https://cdn.pixabay.com/photo/2014/04/05/11/41/lime-316742_150.jpg"/>" | Time:"0.81243991851807"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru milk+cashew+nuts<br/><img src="https://cdn.pixabay.com/photo/2017/10/05/20/12/breakfast-2820796_150.jpg"/>" | Time:"0.84040689468384"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru mackerel<br/><img src="https://cdn.pixabay.com/photo/2015/11/16/14/43/cat-1045782_150.jpg"/>" | Time:"1.3839550018311"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru spaghetti<br/><img src="https://cdn.pixabay.com/photo/2016/12/26/17/28/food-1932466_150.jpg"/>" | Time:"1.0462050437927"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru flour<br/><img src="https://cdn.pixabay.com/photo/2016/02/05/15/34/pasta-1181189_150.jpg"/>" | Time:"1.0122618675232"
Request:"/cc/index.php/run" | Response:"Nu am gasit imagine pentru apricot+brandy+digestive+biscuits" | Time:"1.6025049686432"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru olive+oil<br/><img src="https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_150.jpg"/>" | Time:"1.1267931461334"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru beef+brisket<br/><img src="https://cdn.pixabay.com/photo/2016/03/05/19/42/beef-1238478_150.jpg"/>" | Time:"1.0452878475189"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru shortcrust+pastry<br/><img src="https://cdn.pixabay.com/photo/2017/11/17/17/44/cookie-2957985_150.jpg"/>" | Time:"1.4532577991486"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru olive+oil<br/><img src="https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_150.jpg"/>" | Time:"0.70515012741089"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru butter<br/><img src="https://cdn.pixabay.com/photo/2015/01/14/19/20/bake-599521_150.jpg"/>" | Time:"1.4115478992462"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru rice+stick+noodles<br/><img src="https://cdn.pixabay.com/photo/2020/01/17/16/42/food-4773380_150.jpg"/>" | Time:"1.0577628612518"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru tofu<br/><img src="https://cdn.pixabay.com/photo/2015/01/12/11/34/tofu-597228_150.jpg"/>" | Time:"0.69209814071655"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru cashew+nuts<br/><img src="https://cdn.pixabay.com/photo/2018/03/21/23/21/nuts-3248743_150.jpg"/>" | Time:"1.33651304245"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru rice+stick+noodles<br/><img src="https://cdn.pixabay.com/photo/2020/01/17/16/42/food-4773380_150.jpg"/>" | Time:"1.0820989608765"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru prawns<br/><img src="https://cdn.pixabay.com/photo/2016/03/05/23/01/prawn-1239427_150.jpg"/>" | Time:"1.4365859031677"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru vegetable+oil<br/><img src="https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_150.jpg"/>" | Time:"1.3842558860779"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru butter<br/><img src="https://cdn.pixabay.com/photo/2015/01/14/19/20/bake-599521_150.jpg"/>" | Time:"1.0826439857483"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru milk+puff+pastry<br/><img src="https://cdn.pixabay.com/photo/2017/02/23/19/10/cream-puff-2092962_150.jpg"/>" | Time:"0.46850395202637"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru kale<br/><img src="https://cdn.pixabay.com/photo/2019/09/29/15/45/cabbage-4513641_150.jpg"/>" | Time:"1.3294041156769"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru baby+aubergine<br/><img src="https://cdn.pixabay.com/photo/2017/09/07/18/55/salad-2726295_150.jpg"/>" | Time:"1.4663908481598"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru rum+eggs<br/><img src="https://cdn.pixabay.com/photo/2016/12/12/18/32/advocaat-1902338_150.jpg"/>" | Time:"0.81925702095032"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru sausages<br/><img src="https://cdn.pixabay.com/photo/2018/07/08/20/18/grill-party-3524649_150.jpg"/>" | Time:"1.4807040691376"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru prawns<br/><img src="https://cdn.pixabay.com/photo/2016/03/05/23/01/prawn-1239427_150.jpg"/>" | Time:"1.0575370788574"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru flour<br/><img src="https://cdn.pixabay.com/photo/2016/02/05/15/34/pasta-1181189_150.jpg"/>" | Time:"1.0817151069641"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru sake<br/><img src="https://cdn.pixabay.com/photo/2020/02/16/16/01/sake-4853987_150.jpg"/>" | Time:"1.0355920791626"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru banana<br/><img src="https://cdn.pixabay.com/photo/2015/03/14/19/45/suit-673697_150.jpg"/>" | Time:"1.3628759384155"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru chocolate+chips<br/><img src="https://cdn.pixabay.com/photo/2015/03/26/09/50/coffee-690421_150.jpg"/>" | Time:"1.0927670001984"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru brown+sugar<br/><img src="https://cdn.pixabay.com/photo/2017/09/25/15/32/anise-2785512_150.jpg"/>" | Time:"1.5414690971375"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru tahini<br/><img src="https://cdn.pixabay.com/photo/2015/07/09/19/43/eggplant-838314_150.jpg"/>" | Time:"1.0484139919281"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru soy+sauce<br/><img src="https://cdn.pixabay.com/photo/2016/04/26/03/55/salmon-1353598_150.jpg"/>" | Time:"1.0258529186249"
Request:"/cc/index.php/test" | Response:"<br/><br/><a href="/cc">Inapoi</a>" | Time:"58.348285913467"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru lager+butter<br/><img src="https://cdn.pixabay.com/photo/2014/10/27/21/49/globe-flower-505804_150.jpg"/>" | Time:"2.1741771697998"
Request:"/cc/lab1/index.php/run" | Response:"Am gasit imagine pentru aubergine<br/><img src="https://cdn.pixabay.com/photo/2016/09/10/17/47/eggplant-1659784_150.jpg"/>" | Time:"1.7470600605011"
